"min_height","max_height","min_weight","max_weight","min_expectancy","max_expectancy"
63.5,73.66,34.92661249,59.87419284,12,14
25.4,45.72,4.5359237,11.33980925,12,18
53.34,68.58,20.41165665,31.7514659,12,15
57.15,73.66,45.359237,58.9670081,12,14
55.88,68.58,36.2873896,61.23496995,9,10
25.4,30.48,4.08233133,6.80388555,12,14
22.86,25.4,2.041165665,4.98951607,12,16
66.04,76.2,54.4310844,81.6466266,8,10
58.42,71.12,18.1436948,29.48350405,10,17
48.26,59.69,15.87573295,29.48350405,12,14
40.64,50.8,11.79340162,24.94758035,12,15
25.4,33.02,4.5359237,7.25747792,12,14
71.12,81.28,34.01942775,49.8951607,8,11
48.26,58.42,18.1436948,27.2155422,11,13
33.02,40.64,6.80388555,11.33980925,12,14
34.29,41.91,7.71107029,10.43262451,13,16
22.86,26.67,4.08233133,7.25747792,10,18
43.18,55.88,15.87573295,24.94758035,10,12
50.8,59.69,15.87573295,27.2155422,12,14
24.13,25.4,15.87573295,20.41165665,12,14
60.96,73.66,15.87573295,22.6796185,10,15
57.15,67.31,22.6796185,29.48350405,12,15
58.42,69.85,30.84428116,43.99845989,11,13
40.64,50.8,14.96854821,19.95806428,12,13
52.07,53.34,18.1436948,27.2155422,12,14
43.18,48.26,13.6077711,18.1436948,12,14
71.12,88.9,63.5029318,90.718474,10,12
40.005,50.165,14.06136347,22.22602613,12,14
48.26,53.34,18.1436948,27.2155422,13,15
35.56,40.64,10.88621688,17.23651006,12,14
44.45,49.53,13.6077711,22.6796185,13,16
33.02,38.1,15.87573295,20.41165665,13,15
40.64,50.8,13.6077711,20.41165665,12,14
29.21,34.925,9.0718474,15.87573295,12,15
43.18,50.8,11.79340162,18.1436948,9,13
20.32,38.1,3.62873896,11.33980925,14,16
50.8,60.96,15.87573295,34.01942775,12,13
60.96,66.04,31.7514659,68.0388555,10,12
35.56,43.18,8.16466266,13.6077711,15,16
58.42,71.12,28.12272694,49.8951607,12,14
54.61,59.69,45.359237,90.718474,10,12
21.59,29.21,1.587573295,3.17514659,13,15
40.64,60.96,13.6077711,22.6796185,10,12
50.8,68.58,22.6796185,31.7514659,12,13
53.34,60.96,19.95806428,27.2155422,12,14
58.42,68.58,24.94758035,40.8233133,10,13
43.18,48.26,15.87573295,24.94758035,12,15
25.4,27.94,6.80388555,9.0718474,13,15
45.72,55.88,11.33980925,18.1436948,12,15
50.8,60.96,15.87573295,31.7514659,12,15
54.61,63.5,20.41165665,29.48350405,12,14
48.26,63.5,12.70058636,27.2155422,12,15
25.4,58.42,4.5359237,24.94758035,13,18
53.34,58.42,18.1436948,24.94758035,10,12
